x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
110.98,2268.96,0,0,0,0,CD8
109.37,2950.21,0,0,0,0,CD8
110.51,3506.32,1,0,0,0,CD8
121.09,3623.88,1,0,0,0,CD8
111.22,36.41,0,0,0,0,CD8
109.26,1948.44,1,0,0,0,CD8
112.23,2810.35,0,0,0,0,CD8
111.45,3458.47,0,0,0,0,CD8
117.53,2370.41,0,0,0,0,CD8
118.58,2887.68,0,0,0,0,CD8
114.74,3344.25,1,0,0,0,CD8
115.86,3378.87,1,0,0,0,CD8
117.65,3495.55,1,0,0,0,CD8
114.79,3543.29,1,0,0,0,CD8
117.12,3639.80,1,0,0,0,CD8
122.02,2718.64,0,0,0,0,CD8
117.46,2770.48,0,0,0,0,CD8
115.52,1488.62,1,0,1,0,CD8
116.00,2064.98,1,0,0,0,CD8
116.42,2732.21,1,0,0,0,CD8
119.09,3419.06,1,0,0,0,CD8
118.90,96.89,0,0,0,0,CD8
118.93,643.05,1,0,0,0,CD8
120.86,2042.41,1,0,0,0,CD8
120.68,146.81,0,0,0,0,CD8
128.39,268.21,0,0,0,0,CD8
123.09,461.20,0,0,0,0,CD8
119.10,877.49,1,0,0,0,CD8
124.38,2761.39,0,0,0,0,CD8
123.38,2800.92,0,0,0,0,CD8
120.47,3527.89,1,0,0,0,CD8
125.95,3565.28,1,0,0,0,CD8
125.78,2054.18,1,0,0,0,CD8
120.98,1343.83,0,0,1,1,CD8
128.52,2127.61,1,0,0,0,CD8
126.42,2143.60,0,0,0,0,CD8
122.29,2546.64,0,0,0,0,CD8
129.61,2699.70,0,0,0,0,CD8
125.99,2921.73,0,0,0,0,CD8
124.59,3694.88,1,0,0,0,CD8
125.87,2747.12,0,0,0,0,CD8
130.69,2789.16,0,0,0,0,CD8
131.39,565.67,0,0,0,0,CD8
130.08,581.75,0,0,0,0,CD8
129.18,745.75,1,0,0,0,CD8
128.56,3773.15,1,0,0,0,CD8
127.21,190.87,0,0,0,0,CD8
132.87,1194.46,1,0,1,0,CD8
131.28,2776.38,0,0,0,0,CD8
137.00,2825.06,0,0,0,0,CD8
135.29,480.78,0,0,0,0,CD8
131.81,3517.49,1,0,0,0,CD8
132.43,1267.01,1,0,1,0,CD8
134.69,2731.38,0,0,0,0,CD8
130.92,3006.77,0,0,0,0,CD8
131.61,4033.77,1,0,1,0,CD8
136.14,3360.11,1,0,0,0,CD8
136.05,2214.44,0,0,0,0,CD8
139.10,2845.64,0,0,0,0,CD8
138.51,2890.54,0,0,0,0,CD8
134.75,3496.51,1,0,0,0,CD8
139.81,2165.32,0,0,0,0,CD8
140.94,1144.53,1,0,1,0,CD8
144.74,1667.18,1,0,1,0,CD8
