x,y,PanCK+,CAIX+,Pimo+,Necrosis,Celltype
230.65,1404.37,1,0,0,0,CD8
228.93,1663.05,1,0,0,0,CD8
228.49,2819.39,1,0,0,0,CD8
231.91,1637.27,1,0,0,0,CD8
227.94,2529.81,1,0,0,0,CD8
227.08,4422.08,1,0,0,0,CD8
230.71,1061.28,0,0,0,0,CD8
230.49,3322.74,1,0,0,0,CD8
236.55,3791.78,0,1,0,0,CD8
234.90,515.07,1,0,0,0,CD8
236.69,1035.53,0,0,0,0,CD8
240.15,1552.96,1,0,0,0,CD8
234.41,2369.22,0,0,0,0,CD8
235.82,3550.52,1,0,0,0,CD8
237.77,4493.55,1,0,0,0,CD8
240.06,3163.59,1,0,0,0,CD8
242.97,3177.39,1,0,0,0,CD8
243.02,2030.36,0,0,0,0,CD8
240.87,4014.85,1,0,0,0,CD8
244.50,3662.85,1,0,0,0,CD8
245.83,327.46,1,0,0,0,CD8
252.55,794.40,0,0,0,0,CD8
247.05,1629.43,1,0,0,0,CD8
246.05,3602.84,1,0,0,0,CD8
249.28,444.72,0,0,0,0,CD8
256.27,1747.38,1,0,0,0,CD8
252.40,3407.66,1,0,0,0,CD8
250.89,4373.52,1,0,0,0,CD8
253.29,705.84,0,0,0,0,CD8
253.62,1474.96,1,0,0,0,CD8
255.30,1574.48,1,0,0,0,CD8
260.82,1811.86,1,0,0,0,CD8
260.35,1656.95,1,0,0,0,CD8
260.81,457.28,0,0,0,0,CD8
262.48,1611.61,1,0,0,0,CD8
263.90,1878.24,1,0,0,0,CD8
261.88,2416.43,0,0,0,0,CD8
263.80,130.54,1,0,1,0,CD8
261.49,282.30,1,0,0,0,CD8
262.46,813.99,1,0,0,0,CD8
263.49,1537.36,1,0,0,0,CD8
263.76,2759.65,1,0,0,0,CD8
266.23,3306.81,1,0,0,0,CD8
265.68,693.24,0,0,0,0,CD8
269.32,4491.43,1,0,0,0,CD8
272.73,1627.46,1,0,0,0,CD8
276.19,343.45,1,0,0,0,CD8
274.45,1674.72,1,0,0,0,CD8
274.11,2003.62,0,0,0,0,CD8
273.96,3757.73,1,0,0,0,CD8
279.86,1827.56,1,1,0,0,CD8
279.52,2572.58,1,0,0,0,CD8
281.55,2753.77,1,0,1,0,CD8
274.77,3628.94,1,0,0,0,CD8
281.74,2603.49,1,0,0,0,CD8
279.49,818.27,1,0,0,0,CD8
283.96,1042.28,0,0,0,0,CD8
279.81,1132.02,0,0,0,0,CD8
280.57,1440.83,1,0,0,0,CD8
281.39,2542.46,1,0,0,0,CD8
278.55,2866.77,1,0,0,0,CD8
284.71,3802.74,0,0,0,0,CD8
282.72,4435.61,1,0,0,0,CD8
289.58,304.41,1,0,0,0,CD8
282.57,3509.42,1,0,0,0,CD8
287.96,569.16,1,0,0,0,CD8
290.91,1744.55,1,0,0,0,CD8
286.61,1296.24,1,0,0,0,CD8
286.81,1058.24,0,0,0,0,CD8
291.11,1318.69,1,0,0,0,CD8
286.16,1874.40,1,0,0,0,CD8
293.85,2018.47,1,0,0,0,CD8
295.11,740.75,0,0,0,0,CD8
295.52,762.88,0,0,0,0,CD8
290.99,2868.63,1,0,0,0,CD8
294.80,480.48,1,0,0,0,CD8
298.01,1574.89,1,0,0,0,CD8
295.30,1591.38,1,0,0,0,CD8
296.95,1973.56,0,0,0,0,CD8
295.62,4341.82,1,0,0,0,CD8
296.94,261.47,1,0,0,0,CD8
298.01,379.57,0,0,0,0,CD8
297.18,961.79,0,0,0,0,CD8
297.58,1083.78,0,1,0,0,CD8
302.16,1560.47,1,0,0,0,CD8
297.25,2049.36,1,0,0,0,CD8
300.98,2359.63,0,0,0,0,CD8
300.53,1545.62,1,0,0,0,CD8
304.49,947.30,0,0,0,0,CD8
306.68,726.51,0,0,0,0,CD8
303.35,892.36,1,0,0,0,CD8
311.27,1537.96,1,0,0,0,CD8
308.07,1589.42,1,0,0,0,CD8
313.36,332.34,0,0,0,0,CD8
309.77,419.48,0,0,0,0,CD8
311.35,1623.42,1,0,0,0,CD8
312.51,175.68,1,0,0,0,CD8
317.83,747.87,0,0,0,0,CD8
310.71,1365.90,1,0,0,0,CD8
318.71,1574.51,1,0,0,0,CD8
312.26,2037.74,0,0,0,0,CD8
315.50,4456.72,1,0,0,0,CD8
321.49,1611.12,1,0,0,0,CD8
316.87,783.18,0,0,0,0,CD8
317.37,1241.21,1,0,0,0,CD8
319.14,2568.06,1,0,0,0,CD8
319.12,4420.91,1,0,0,0,CD8
320.00,1758.81,1,0,0,0,CD8
318.81,1068.94,0,0,0,0,CD8
318.60,1733.02,1,0,0,0,CD8
321.22,1919.88,1,0,0,0,CD8
322.02,348.29,0,0,0,0,CD8
323.25,1587.87,1,0,0,0,CD8
323.36,1832.29,1,0,0,0,CD8
325.55,70.68,1,0,1,0,CD8
325.75,385.66,0,0,0,0,CD8
321.33,498.47,1,0,0,0,CD8
326.24,1557.00,1,1,0,0,CD8
324.24,1863.69,1,0,0,0,CD8
326.49,1250.54,1,0,0,0,CD8
326.80,1212.78,0,0,0,0,CD8
326.38,2939.70,1,0,1,0,CD8
325.62,3509.19,1,0,0,0,CD8
324.56,1536.22,1,0,0,0,CD8
332.13,276.91,1,0,0,0,CD8
333.96,413.01,0,0,0,0,CD8
336.79,1129.19,0,0,0,0,CD8
331.34,1822.56,1,0,0,0,CD8
332.06,2837.70,1,0,0,0,CD8
338.99,980.10,0,0,0,0,CD8
335.64,2914.17,1,0,0,0,CD8
330.54,3197.22,1,0,0,0,CD8
336.61,1544.35,1,0,0,0,CD8
334.80,1569.59,1,0,0,0,CD8
331.16,2893.71,1,0,0,0,CD8
337.44,2826.15,1,0,0,0,CD8
339.48,3819.95,1,0,0,0,CD8
338.80,366.39,1,0,0,0,CD8
335.00,437.04,0,0,0,0,CD8
338.26,2063.94,1,0,0,0,CD8
